Index,Age,Gender,Weight,Height,Fitness_Level,Exercise_Duration,Equipment,Goals,Exercise_Preference
1,28,Male,75,180,Intermediate,45 mins/day,Gym,Weight Loss,Cardio
2,35,Female,68,165,Intermediate,30 mins/day,Home,Overall Fitness,Strength Training
3,32,Male,85,185,Advanced,60 mins/day,Outdoor,Muscle Gain,Yoga
4,42,Female,70,160,Intermediate,40 mins/day,Gym,Cardio,Overall Fitness
5,27,Male,80,178,Advanced,60 mins/day,Home,Weight Loss,Strength Training
6,29,Female,62,165,Intermediate,45 mins/day,Outdoor,Cardio,Overall Fitness
7,36,Male,90,188,Advanced,60 mins/day,Gym,Overall Fitness,Muscle Gain
8,24,Female,55,160,Beginner,30 mins/day,Home,Weight Loss,Cardio
9,33,Male,78,175,Intermediate,45 mins/day,Outdoor,Strength Training,Overall Fitness
10,31,Female,63,165,Intermediate,40 mins/day,Gym,Muscle Gain,Cardio
11,26,Male,72,178,Intermediate,50 mins/day,Gym,Weight Loss,Strength Training
12,41,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Muscle Gain
13,27,Male,75,180,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
14,34,Female,70,165,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
15,23,Male,68,175,Intermediate,40 mins/day,Outdoor,Weight Loss,Yoga
16,28,Female,62,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
17,35,Male,82,185,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
18,24,Female,58,163,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
19,29,Male,77,178,Intermediate,45 mins/day,Gym,Weight Loss,Yoga
20,26,Female,64,166,Intermediate,30 mins/day,Home,Muscle Gain,Strength Training
21,37,Male,88,190,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
22,31,Female,66,168,Intermediate,35 mins/day,Outdoor,Cardio,Muscle Gain
23,29,Male,74,177,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
24,34,Female,69,166,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
25,36,Male,86,183,Advanced,60 mins/day,Outdoor,Weight Loss,Yoga
26,28,Female,63,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
27,33,Male,79,178,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
28,25,Female,60,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
29,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
30,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
31,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
32,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
33,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
34,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
35,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
36,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
37,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
38,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
39,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
40,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
41,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
42,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
43,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
44,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
45,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
46,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
47,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
48,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
49,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
50,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
51,34,Male,79,178,Intermediate,50 mins/day,Outdoor,Overall Fitness,Strength Training
52,28,Female,62,165,Intermediate,35 mins/day,Gym,Muscle Gain,Cardio
53,29,Male,74,177,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
54,34,Female,69,166,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
55,36,Male,86,183,Advanced,60 mins/day,Outdoor,Weight Loss,Yoga
56,28,Female,63,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
57,33,Male,79,178,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
58,25,Female,60,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
59,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
60,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
61,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
62,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
63,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
64,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
65,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
66,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
67,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
68,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
69,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
70,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
71,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
72,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
73,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
74,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
75,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
76,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
77,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
78,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
79,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
80,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
81,34,Male,79,178,Intermediate,50 mins/day,Outdoor,Overall Fitness,Strength Training
82,28,Female,62,165,Intermediate,35 mins/day,Gym,Muscle Gain,Cardio
83,29,Male,74,177,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
84,34,Female,69,166,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
85,36,Male,86,183,Advanced,60 mins/day,Outdoor,Weight Loss,Yoga
86,28,Female,63,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
87,33,Male,79,178,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
88,25,Female,60,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
89,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
90,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
91,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
92,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
93,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
94,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
95,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
96,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
97,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
98,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
99,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
100,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
101,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
102,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
103,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
104,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
105,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
106,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
