Food,Calories,Protein(g),Carbs(g),Fat(g),Category,Type_of_Diet,Disease_Help
Apple,95,0.5,25,0.3,Fruit,Vegetarian,Heart Health
Chicken Breast (grilled),165,31,0,3.6,Meat,High Protein,Weight Management
Broccoli,55,3.7,11.2,0.6,Vegetable,Vegetarian,Immune Support
Whole Wheat Bread,69,2.2,12.4,1,Grain,Vegetarian,Heart Health
Salmon (baked),206,22,0,13,Fish,High Protein,Brain Health
Lentils (cooked),230,18,40,1,Vegetarian,Vegan,Diabetes Management
Tomato Soup,74,2,13,1.8,Soup,Vegetarian,Immune Support
Almonds,7,3,6,14,Nuts,Vegetarian,Heart Health
Quinoa (cooked),222,8,39,4,Grain,Vegetarian,Weight Management
Greek Yogurt,59,10,3.6,0.4,Dairy,High Protein,Bone Health
Orange,62,1.2,15,0.2,Fruit,Vegetarian,Immune Support
Salad (Mixed Greens),20,1,4,0.2,Vegetable,Vegan,Weight Management
Whole Grain Pasta (cooked),174,7,37,1,Grain,Vegetarian,Heart Health
Salmon (smoked),130,17,0,6,Fish,High Protein,Brain Health
Chickpeas (cooked),164,8,27,3,Vegetarian,Vegan,Diabetes Management
Carrot Soup,45,1,10,0.3,Soup,Vegetarian,Eye Health
Walnuts,185,4,4,18,Nuts,Vegetarian,Heart Health
Brown Rice (cooked),215,5,45,1.6,Grain,Vegetarian,Weight Management
Mango,60,0.8,15,0.4,Fruit,Vegetarian,Immune Support
Spinach,23,2.9,3.6,0.4,Vegetable,Vegan,Bone Health
Eggs (boiled),68,5.5,0.6,4.8,Dairy,High Protein,Brain Health
Black Beans (cooked),114,7.6,20.4,0.5,Vegetarian,Vegan,Heart Health
Oatmeal,154,3.4,27,2.2,Grain,Vegetarian,Weight Management
Cauliflower (roasted),55,2.1,11,0.5,Vegetable,Vegan,Immune Support
Avocado,160,2,9,15,Fruit,Vegetarian,Heart Health
Tofu (grilled),144,15,3.9,8.2,Vegetarian,Vegan,Bone Health
Pineapple,50,0.5,13,0.1,Fruit,Vegetarian,Immune Support
Turkey Breast (roasted),135,30,0,1,Meat,High Protein,Weight Management
Cabbage (steamed),22,1.3,5,0.1,Vegetable,Vegan,Heart Health
Quinoa Salad,120,4,20,3,Grain,Vegetarian,Weight Management
Sardines (canned),191,25,0,10,Fish,High Protein,Brain Health
Kidney Beans (cooked),215,13,40,0.8,Vegetarian,Vegan,Diabetes Management
Sweet Potato Soup,90,1,20,0.5,Soup,Vegetarian,Immune Support
Cashews,155,5.1,9.2,12.4,Nuts,Vegetarian,Heart Health
Spaghetti (whole wheat, cooked),174,7.5,37.2,1.3,Grain,Vegetarian
Papaya,59,0.5,15,0.4,Fruit,Vegetarian,Immune Support
Kale,33,2.9,6.7,0.6,Vegetable,Vegan,Bone Health
Yogurt (plain),61,3.5,4.7,3.3,Dairy,High Protein,Gut Health
Black-Eyed Peas (cooked),160,6.7,30.4,1,Vegetarian,Vegan,Heart Health
Buckwheat Pancakes,154,5,33,1.3,Grain,Vegetarian,Weight Management
Zucchini (grilled),17,1.4,3.1,0.2,Vegetable,Vegan,Heart Health
Pistachios,156,6,8,12.7,Nuts,Vegetarian,Heart Health
Wild Rice (cooked),166,6.5,35.4,0.6,Grain,Vegetarian,Weight Management
Dragon Fruit,60,2,13,1,Fruit,Vegetarian,Immune Support
Arugula,25,2.6,3.7,0.7,Vegetable,Vegan,Bone Health
Eggs (scrambled),91,6.7,1.1,6.7,Dairy,High Protein,Brain Health
Chickpea Salad,180,7,30,5,Vegetarian,Vegan,Diabetes Management
