id,age,height,weight,gender,goal,time,equipment,aerobic,strength_training,intensity
1,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
2,48,180,80,Female,stay_fit,80,treadmill,Cycling,Weight Lifting,Intense
3,34,162,58,Male,lose_weight,45,jump_rope,Cycling,Bodyweight,Moderate
4,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
5,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
6,41,167,65,Female,lose_weight,90,stationary_bike,Cycling,Weight Machine,Intense
7,31,158,52,Male,stay_fit,60,weight_machine,Running,Weight Lifting,Intense
8,50,182,88,Female,build_muscle,75,swimming_pool,Swimming,Resistance Band,Intense
9,28,167,70,Male,lose_weight,30,elliptical_machine,Cycling,Bodyweight,Low
10,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
11,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
12,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
13,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
14,56,170,75,Female,build_muscle,90,barbell,Weight Lifting,Bodyweight,Intense
15,29,172,68,Male,stay_fit,60,bodyweight_exercises,Dancing,Bodyweight,Intense
16,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
17,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
18,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
19,25,170,65,Male,stay_fit,45,elliptical_machine,Cycling,Bodyweight,Moderate
20,58,165,70,Female,lose_weight,120,yoga_mat,Running,Bodyweight,Intense
21,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
22,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
23,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
24,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
25,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
26,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
27,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
28,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
29,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
30,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
31,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
32,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
33,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
34,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
35,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
36,45,168,72,Female,build_muscle,45,weight_machine,Running,Weight Lifting,Intense
37,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
38,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
39,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
40,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
41,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
42,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
43,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
44,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
45,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
46,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
47,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
48,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
49,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
50,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
51,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
52,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
53,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
54,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
55,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
56,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
57,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
58,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
59,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
60,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
61,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
62,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
63,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
64,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
65,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
66,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
67,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
68,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
69,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
70,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
71,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
