food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Chicken Breast,165,31,0,3.6,Weight loss,Protein-Rich Foods,Lactose intolerant
Salmon,206,22,0,13,Muscle gain,Protein-Rich Foods,None
Brown Rice,215,5,45,1.6,General health,Whole Grains,Gluten-free
Broccoli,55,3.7,11,0.6,Weight loss,Vegetables,Lactose intolerant
Almonds,7,0.3,0.6,0.6,Weight loss,Protein-Rich Foods,None
Whole Wheat Bread,69,3,12,1,Muscle gain,Whole Grains,None
Greek Yogurt,59,10,3,0.4,General health,Dairy,None
Spinach,23,2.9,3,0.4,General health,Vegetables,None
Apple,95,0.5,25,0.3,Weight loss,Fruits,Gluten-free
Olive Oil,119,0,0,13.5,General health,None,None
Quinoa,120,4,21,2,Muscle gain,Whole Grains,Gluten-free
Banana,105,1.3,27,0.3,General health,Fruits,None
Eggs,68,5.5,0.6,4.8,General health,Protein-Rich Foods,None
Avocado,160,2,9,15,Weight loss,Fruits,None
Cottage Cheese,206,28,6,9,Muscle gain,Dairy,Lactose intolerant
Sweet Potato,112,2,26,0.2,General health,Whole Grains,None
Turkey Breast,135,30,0,1,Weight loss,Protein-Rich Foods,None
Tofu,144,15,3.9,8.2,General health,Vegetarian,None
Quinoa Salad,180,4,29,6,Muscle gain,Whole Grains,Gluten-free
Blueberries,57,0.7,14.5,0.3,General health,Fruits,None
Salad Greens,5,0.5,1,0,Weight loss,Vegetables,None
Peanut Butter,188,8,6,16,Muscle gain,Protein-Rich Foods,None
Mango,60,0.8,15,0.4,General health,Fruits,None
Chickpeas,164,8.9,27,2.6,Muscle gain,Protein-Rich Foods,Vegetarian
Yogurt Parfait,210,12,36,3.5,Muscle gain,Dairy,None
Cauliflower Rice,25,2,5,0.2,Weight loss,Vegetables,None
Lentils,230,18,40,1,Muscle gain,Vegetarian,None
Salmon Salad,280,25,8,18,Weight loss,Protein-Rich Foods,None
Oatmeal,150,5,27,2,Muscle gain,Whole Grains,None
Cucumber,16,0.7,3.6,0.2,Weight loss,Vegetables,None
Pineapple,50,0.5,13,0.1,General health,Fruits,None
Cottage Cheese Wrap,300,25,30,10,Muscle gain,Dairy,None
Kale,33,2.9,6.7,0.5,Weight loss,Vegetables,None
Ground Turkey,220,26,0,12,Weight loss,Protein-Rich Foods,None
Quinoa Bowl,320,14,54,6,Muscle gain,Whole Grains,Gluten-free
Carrot Sticks,41,0.9,10,0.2,General health,Vegetables,None
Shrimp Stir Fry,200,25,12,8,Weight loss,Protein-Rich Foods,None
Pumpkin Seeds,180,9,7,14,Muscle gain,Protein-Rich Foods,None
Mushroom Risotto,320,8,56,8,General health,Vegetarian,None
Grapes,69,0.6,18,0.2,General health,Fruits,None
Tuna Salad Wrap,250,20,15,12,Weight loss,Protein-Rich Foods,None
Chia Pudding,150,4,12,9,Weight loss,Whole Grains,Vegetarian
Green Beans,31,1.8,7,0.1,Weight loss,Vegetables,None
Cottage Cheese Pancakes,280,25,20,10,Muscle gain,Dairy,None
Barley Salad,220,5,45,2,General health,Whole Grains,Vegetarian
Kiwi,61,1.1,15,0.5,General health,Fruits,None
Turkey Burger,250,28,5,13,Weight loss,Protein-Rich Foods,None
Quiche,320,14,18,22,General health,Dairy,None
Black Beans,120,7,22,1,Muscle gain,Vegetarian,None
Orange,62,1.2,16,0.2,General health,Fruits,None
Grilled Chicken Salad,180,25,8,6,Weight loss,Protein-Rich Foods,None
Hummus,70,2,8,4,General health,Vegetarian,None
Cabbage Slaw,45,1.2,11,0.1,Weight loss,Vegetables,None
Milk,103,8,12,2.4,Muscle gain,Dairy,Lactose intolerant
Spaghetti Squash,31,1,7,0.6,General health,Vegetarian,None
Papaya,43,0.5,11,0.4,General health,Fruits,None
Tofu Stir-Fry,180,16,12,8,General health,Vegetarian,None
Walnuts,185,4.3,3.9,18,Muscle gain,Nuts,None
Pasta Primavera,250,8,50,2,General health,Whole Grains,Vegetarian
Dragon Fruit,60,1,13,1,General health,Fruits,None
Salmon Sushi Roll,300,15,40,10,Weight loss,Protein-Rich Foods,None
Quinoa Salad Bowl,280,9,40,8,General health,Whole Grains,Vegetarian
Asparagus,20,2.2,3.7,0.2,Weight loss,Vegetables,None
Almond Milk,13,1,0.5,1,Muscle gain,Nuts,Lactose intolerant
Couscous Salad,180,5,35,1.5,General health,Whole Grains,Vegetarian
Mango Smoothie,120,2,30,0.6,General health,Fruits,None
Pecans,196,2.6,3.9,20,Muscle gain,Nuts,None
Eggplant Parmesan,220,12,14,14,General health,Vegetarian,None
Grapefruit,52,0.6,13,0.2,Weight loss,Fruits,None
Chicken Caesar Salad,350,30,10,20,Weight loss,Protein-Rich Foods,None
Buckwheat Pancakes,210,6,42,2,General health,Whole Grains,None
Zucchini,17,1.2,3.1,0.2,Weight loss,Vegetables,None
Coconut Milk,230,2,5,24,Muscle gain,Nuts,None
Chickpea Curry,250,12,45,5,General health,Vegetarian,None
Paprika,19,0.9,3.7,0.9,General health,Spices,None
Eggplant Stir-Fry,120,2,26,1,Weight loss,Vegetarian,None
Hazelnuts,176,4.2,5.1,17.7,Muscle gain,Nuts,None
Cauliflower Pizza,280,12,40,9,General health,Vegetarian,None
Berries Mix,70,1,17,0.5,General health,Fruits,None
Turkey Wrap,220,20,15,8,Weight loss,Protein-Rich Foods,None
Buckwheat Salad,200,5,40,2,General health,Whole Grains,None
Snap Peas,41,2.5,8,0.2,Weight loss,Vegetables,None
Coconut Water,46,0.9,8.9,0.5,Muscle gain,Fruits,None
Lentil Soup,150,9,28,1,General health,Vegetarian,None
Pomegranate,83,1.7,18.7,1,General health,Fruits,None
Cabbage Roll,150,10,20,3,Weight loss,Vegetarian,None
Pistachios,160,6,8,13,Muscle gain,Nuts,None
Vegetable Curry,220,6,40,5,General health,Vegetarian,None
Clementine,35,0.6,8.3,0.2,General health,Fruits,None
Grilled Shrimp Salad,180,22,10,7,Weight loss,Protein-Rich Foods,None
Wild Rice Bowl,280,7,56,2,General health,Whole Grains,None
Brussels Sprouts,38,3,8,0.3,Weight loss,Vegetables,None
Coconut Yogurt,120,2,15,5,Muscle gain,Dairy,Lactose intolerant
Chickpea Salad Wrap,220,9,40,4,General health,Vegetarian,None
Blueberry Smoothie,120,2,30,0.5,General health,Fruits,None
Stir-Fried Tofu,180,16,10,12,Weight loss,Vegetarian,None
Macadamia Nuts,200,2.2,4,21,Muscle gain,Nuts,None
Egg Fried Rice,250,8,45,5,General health,Whole Grains,None
Passion Fruit,68,2.2,17,0.5,General health,Fruits,None
Grilled Turkey Breast,170,30,1,4,Weight loss,Protein-Rich Foods,None
Millet Salad,210,7,40,3,General health,Whole Grains,None
Artichoke,47,3.3,10,0.2,Weight loss,Vegetables,None
Coconut Oil,120,0,0,14,Muscle gain,Fats,None
Black Bean Burger,220,15,30,4,General health,Vegetarian,None
Raspberry Smoothie,90,1,22,0.5,General health,Fruits,None
Chickpea Spinach Curry,220,8,35,5,General health,Vegetarian,None
Sunflower Seeds,200,7,7,17,Muscle gain,Nuts,None
Caprese Salad,180,12,5,13,Weight loss,Dairy,None
Papaya Salad,90,1.3,22,0.5,General health,Fruits,None
Shrimp Scampi,220,25,6,11,Weight loss,Protein-Rich Foods,None
Farro Bowl,240,10,48,1.5,General health,Whole Grains,None
Radish,16,0.7,3.4,0.1,Weight loss,Vegetables,None
Avocado Toast,200,4,14,15,Muscle gain,Fats,None
Mushroom Risotto,300,9,45,8,General health,Vegetarian,None
Strawberry Banana Smoothie,120,1,30,0.5,General health,Fruits,None
Lentil Stir-Fry,180,8,30,4,Weight loss,Vegetarian,None
Brazil Nuts,190,4,3.5,19,Muscle gain,Nuts,None
Quinoa Stuffed Bell Peppers,260,9,45,5,General health,Whole Grains,Vegetarian
Watermelon,30,0.6,8,0.2,General health,Fruits,None
Grilled Salmon Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None
Bulgur Pilaf,180,6,35,1,General health,Whole Grains,None
Cucumber Salad,25,0.8,5.4,0.3,Weight loss,Vegetables,None
Almond Butter,190,6,6,16,Muscle gain,Nuts,None
Chickpea Buddha Bowl,240,10,35,7,General health,Vegetarian,None
Pineapple Coconut Smoothie,100,1,25,0.5,General health,Fruits,None
Sweet Potato Curry,220,6,40,3,General health,Vegetarian,None
Pine Nuts,190,3.5,3.7,19,Muscle gain,Nuts,None
Egg Fried Quinoa,230,10,30,7,General health,Whole Grains,None
Melon,45,0.9,11,0.2,General health,Fruits,None
Grilled Chicken Wrap,280,30,15,10,Weight loss,Protein-Rich Foods,None
Barley Salad Bowl,220,5,45,2,General health,Whole Grains,Vegetarian
Zucchini Noodles,30,2,5,0.3,Weight loss,Vegetables,None
Cashew Butter,190,5,8,16,Muscle gain,Nuts,None
Chickpea Fajita Bowl,260,12,40,5,General health,Vegetarian,None
Mango Pineapple Smoothie,110,1,28,0.5,General health,Fruits,None
Quinoa Stir-Fry,200,8,35,5,Weight loss,Vegetarian,None
Pecan Nuts,196,2.6,3.9,20,Muscle gain,Nuts,None
Cauliflower Rice Bowl,180,5,40,2,General health,Vegetarian,None
Dragon Fruit Bowl,80,2,18,0.5,General health,Fruits,None
Grilled Shrimp Skewers,160,22,5,8,Weight loss,Protein-Rich Foods,None
Millet Porridge,220,5,45,2,General health,Whole Grains,None
Broccoli Salad,35,3,6,0.4,Weight loss,Vegetables,None
Pistachio Butter,180,5,6,15,Muscle gain,Nuts,None
Chickpea Stir-Fry,240,10,35,6,General health,Vegetarian,None
Papaya Smoothie Bowl,120,2,30,0.5,General health,Fruits,None
Sweet Potato Bowl,250,6,50,3,General health,Vegetarian,None
Hazelnut Butter,180,4,3,18,Muscle gain,Nuts,None
Spaghetti Squash Pasta,180,5,40,2,General health,Whole Grains,Vegetarian
Apple Slices,52,0.3,14,0.2,Weight loss,Fruits,None
Grilled Turkey Burger,200,25,2,10,Weight loss,Protein-Rich Foods,None
Buckwheat Pancake Stack,220,7,45,1.5,General health,Whole Grains,None
Cabbage Slaw Bowl,60,1.5,15,0.2,Weight loss,Vegetables,None
Almond Yogurt,100,3,15,3,Muscle gain,Dairy,Lactose intolerant
Lentil Veggie Bowl,230,15,40,2,General health,Vegetarian,None
Mixed Berry Smoothie,110,2,25,0.5,General health,Fruits,None
Chickpea Avocado Salad,220,8,35,7,General health,Vegetarian,None
Walnut Butter,200,4.5,3,18,Muscle gain,Nuts,None
Cauliflower Gnocchi,190,5,35,1,General health,Vegetarian,None
Grapes,69,0.6,18,0.2,General health,Fruits,None
Grilled Chicken Skewers,180,26,3,8,Weight loss,Protein-Rich Foods,None
Quinoa Breakfast Bowl,240,8,45,4,General health,Whole Grains,None
Zucchini Fritters,120,5,15,6,Weight loss,Vegetables,None
Cashew Milk,60,1,8,3,Muscle gain,Nuts,Lactose intolerant
Chickpea Tomato Curry,250,12,30,5,General health,Vegetarian,None
Berry Chia Pudding,150,3,20,7,General health,Fruits,None
Spinach Quinoa Salad,180,6,30,5,General health,Vegetarian,None
Sun-Dried Tomato Pesto,160,2,6,16,Muscle gain,Nuts,None
Cauliflower Pizza,220,8,30,9,General health,Vegetarian,None
Pineapple,50,0.5,13,0.1,General health,Fruits,None
Turkey and Veggie Stir-Fry,200,24,8,9,Weight loss,Protein-Rich Foods,None
Quinoa Buddha Bowl,240,9,40,6,General health,Whole Grains,Vegetarian
Cucumber Rolls,30,1,6,0.5,Weight loss,Vegetables,None
Coconut Cream,120,1,1,13,Muscle gain,Nuts,None
Chickpea Spinach Curry,250,12,35,6,General health,Vegetarian,None
Blueberry Acai Bowl,130,2,30,1,General health,Fruits,None
Chickpea and Quinoa Bowl,230,9,38,5,General health,Vegetarian,None
Cashew Hummus,180,6,10,14,Muscle gain,Nuts,None
Spaghetti Squash Stir-Fry,190,5,40,2,General health,Vegetarian,None
Orange Slices,62,1.2,15,0.2,General health,Fruits,None
Salmon Salad with Avocado,220,24,10,10,Weight loss,Protein-Rich Foods,None
Millet Porridge Bowl,250,7,50,2,General health,Whole Grains,None
Grilled Eggplant,40,2,8,0.5,Weight loss,Vegetables,None
Hazelnut Milk,80,2,1,7,Muscle gain,Nuts,Lactose intolerant
Chickpea and Spinach Stew,220,11,30,4,General health,Vegetarian,None
Mixed Berry Parfait,150,3,25,4,General health,Fruits,None
Quinoa and Black Bean Bowl,250,10,45,4,General health,Vegetarian,None
Almond Pesto,160,3,5,14,Muscle gain,Nuts,None
Zucchini Noodles with Pesto,180,5,15,12,General health,Vegetarian,None
Kiwi Slices,61,1.1,14,0.5,General health,Fruits,None
Grilled Turkey and Veggie Wrap,220,26,10,8,Weight loss,Protein-Rich Foods,None
Farro and Vegetable Salad,210,6,40,3,General health,Whole Grains,None
Cauliflower and Broccoli Soup,45,3,8,0.5,Weight loss,Vegetables,None
Coconut Water,46,0.9,8.9,0.5,Muscle gain,Fruits,None
Chickpea and Tomato Pasta,240,12,30,5,General health,Vegetarian,None
Mixed Fruit Smoothie,110,2,25,0.5,General health,Fruits,None
Chickpea and Kale Salad,200,8,30,7,General health,Vegetarian,None
Peanut Butter,190,8,6,16,Muscle gain,Nuts,None
Mushroom and Spinach Risotto,220,7,45,4,General health,Vegetarian,None
Pear Slices,57,0.6,15,0.2,General health,Fruits,None
Grilled Chicken and Quinoa Bowl,240,28,15,9,Weight loss,Protein-Rich Foods,None
Brown Rice and Vegetable Stir-Fry,200,5,40,2,General health,Whole Grains,Vegetarian
Cucumber and Tomato Salad,30,1,6,0.3,Weight loss,Vegetables,None
Oat Milk,80,1,15,1,Muscle gain,Nuts,Lactose intolerant
Lentil and Quinoa Stew,230,13,30,5,General health,Vegetarian,None
Banana and Berry Smoothie,120,2,30,0.5,General health,Fruits,None
Quinoa and Chickpea Salad,220,10,35,5,General health,Vegetarian,None
Cashew and Basil Pesto,170,4,7,15,Muscle gain,Nuts,None
Sweet Potato Noodles,190,3,45,1,General health,Vegetarian,None
Mango Slices,60,0.6,15,0.4,General health,Fruits,None
Grilled Salmon and Asparagus,240,30,8,12,Weight loss,Protein-Rich Foods,None
Quinoa and Vegetable Stir-Fry,210,7,40,3,General health,Whole Grains,Vegetarian
Tomato and Cucumber Salsa,25,1,5,0.2,Weight loss,Vegetables,None
Hazelnut Milk,80,2,1,7,Muscle gain,Nuts,Lactose intolerant
Chickpea and Spinach Pasta,240,12,30,5,General health,Vegetarian,None
Pineapple and Mango Smoothie,110,1,28,0.5,General health,Fruits,None
Whole Wheat Bread,80,3,15,1,General health,Whole Grains,None
Milk,120,8,12,5,General health,Dairy,Lactose intolerant
Strawberry Jam,50,0,12,0,General health,Sweets,None
Peanut Butter Sandwich,300,10,30,15,General health,Protein-Rich Foods,None
Banana,105,1.3,27,0.3,General health,Fruits,None
Grilled Chicken Burger,350,25,30,15,Weight loss,Protein-Rich Foods,None
Vegetarian Pizza,250,10,35,8,General health,Vegetarian,None
Eggs,70,6,1,5,General health,Protein-Rich Foods,None
Avocado Toast,200,4,15,15,General health,Fats,None
Orange Juice,110,1,26,0.5,General health,Fruits,None
Oatmeal,150,5,27,2.5,General health,Whole Grains,None
Mango Smoothie,120,2,30,0.5,General health,Fruits,None
Chicken Sandwich,300,20,30,12,Weight loss,Protein-Rich Foods,None
Cheese Pizza,280,12,36,10,General health,Dairy,None
Apple,95,0.5,25,0.3,General health,Fruits,None
