food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions,Sugar,Fiber,Sodium,Vitamins,Minerals,Minerals
Chicken Breast,165,31,0,3.6,Weight loss,Protein-Rich Foods,Lactose intolerant,0.5,0,75,2,1,1
Salmon,206,22,0,13,Muscle gain,Protein-Rich Foods,None,0,0,50,10,2,2
Brown Rice,215,5,1.6,45,General health,Whole Grains,Gluten-free,0,3,0,1,3,3
Broccoli,55,3.7,0.6,11,Weight loss,Vegetables,Lactose intolerant,1,2,30,3,2,2
Almonds,7,0.3,0.6,0.6,Weight loss,Protein-Rich Foods,None,0.2,1,0,0,1,1
Whole Wheat Bread,69,3,1,12,Muscle gain,Whole Grains,None,1,2,120,5,2,2
Greek Yogurt,59,10,0.4,3,General health,Dairy,None,6,0,30,2,1,1
Spinach,23,2.9,0.4,3,General health,Vegetables,None,0.4,2,20,4,2,2
Apple,95,0.5,0.3,25,Weight loss,Fruits,Gluten-free,19,3,0,1,1,1
Olive Oil,119,0,13.5,0,General health,None,None,0,0,0,0,0,0
Quinoa,120,4,2,21,Muscle gain,Whole Grains,Gluten-free,0,2,0,0,1,1
Banana,105,1.3,0.3,27,General health,Fruits,None,14,3,1,1,1,1
Eggs,68,5.5,4.8,0.6,General health,Protein-Rich Foods,None,0.6,0,70,8,1,1
Avocado,160,2,15,9,Weight loss,Fruits,None,0.7,4,14,2,1,1
Cottage Cheese,206,28,9,6,Muscle gain,Dairy,Lactose intolerant,3,0,300,12,2,2
Sweet Potato,112,2,0.2,26,General health,Whole Grains,None,6,4,50,10,1,1
Turkey Breast,135,30,0,1,Weight loss,Protein-Rich Foods,None,0,0,50,0,2,2
Tofu,144,15,3.9,8.2,General health,Vegetarian,None,0.1,1.5,6,10,1,1
Quinoa Salad,180,4,29,6,Muscle gain,Whole Grains,Gluten-free,2,4.2,10,2,2,2
Blueberries,57,0.7,14.5,0.3,General health,Fruits,None,9.7,2.4,1,9,1,1
Salad Greens,5,0.5,1,0,Weight loss,Vegetables,None,0.1,0.5,5,70,1,1
Peanut Butter,188,8,6,16,Muscle gain,Protein-Rich Foods,None,3,2,147,0,2,2
Mango,60,0.8,15,0.4,General health,Fruits,None,14.6,1.6,1,11,1,1
Chickpeas,164,8.9,27,2.6,Muscle gain,Protein-Rich Foods,Vegetarian,4.8,7.6,13,2,2,2
Yogurt Parfait,210,12,36,3.5,Muscle gain,Dairy,None,24,2,80,15,1,1
Cauliflower Rice,25,2,5,0.2,Weight loss,Vegetables,None,1.9,2.7,30,0,2,2
Lentils,230,18,40,1,Muscle gain,Vegetarian,None,2,16,2,9,2,2
Salmon Salad,280,25,8,18,Weight loss,Protein-Rich Foods,None,2,3,30,15,2,2
Oatmeal,150,5,27,2,Muscle gain,Whole Grains,None,1,4,0,15,2,2
Cucumber,16,0.7,3.6,0.2,Weight loss,Vegetables,None,1.9,0.5,2,2,1,1
Pineapple,50,0.5,13,0.1,General health,Fruits,None,9.9,1.4,1,47,1,1
Cottage Cheese Wrap,300,25,30,10,Muscle gain,Dairy,None,3,1.5,420,20,2,2
Kale,33,2.9,6.7,0.5,Weight loss,Vegetables,None,1.3,1.3,29,68,2,2
Ground Turkey,220,26,0,12,Weight loss,Protein-Rich Foods,None,0,0,80,0,2,2
Quinoa Bowl,320,14,54,6,Muscle gain,Whole Grains,Gluten-free,2,8,15,6,2,2
Carrot Sticks,41,0.9,10,0.2,General health,Vegetables,None,4.7,2.8,69,5,1,1
Shrimp Stir Fry,200,25,12,8,Weight loss,Protein-Rich Foods,None,2,3,450,15,2,2
Pumpkin Seeds,180,9,7,14,Muscle gain,Protein-Rich Foods,None,0.3,1.1,7,2,1,1
Mushroom Risotto,320,8,56,8,General health,Vegetarian,None,1,3,600,10,2,2
Grapes,69,0.6,18,0.2,General health,Fruits,None,15,0.9,2,3,1,1
Tuna Salad Wrap,250,20,15,12,Weight loss,Protein-Rich Foods,None,1,2,400,10,2,2
Chia Pudding,150,4,12,9,Weight loss,Whole Grains,Vegetarian,8,10,50,0,2,2
Green Beans,31,1.8,7,0.1,Weight loss,Vegetables,None,1,3.4,6,16,2,2
Cottage Cheese Pancakes,280,25,20,10,Muscle gain,Dairy,None,3,1,350,15,2,2
Barley Salad,220,5,45,2,General health,Whole Grains,Vegetarian,0.5,8,15,3,2,2
Kiwi,61,1.1,15,0.5,General health,Fruits,None,9,2.1,2,92,1,1
Turkey Burger,250,28,5,13,Weight loss,Protein-Rich Foods,None,1,1.5,350,8,2,2
Quiche,320,14,18,22,General health,Dairy,None,1,1,400,20,2,2
